,RSSI-Value,MAC-Address,Timestamp,Distance,indoor
221,-53,E7:C1:DC:F8:37:CB,2024-10-30 14:16:04,0.1,0
222,-53,ED:7C:A0:C9:37:39,2024-10-30 14:16:04,0.1,0
223,-52,F2:C7:6C:15:14:53,2024-10-30 14:16:04,0.1,0
224,-47,D1:8A:6B:17:30:48,2024-10-30 14:16:04,0.1,0
225,-88,CD:80:4C:C8:B8:6D,2024-10-30 14:16:04,0.1,0
226,-49,C8:18:05:35:AD:86,2024-10-30 14:16:06,0.1,0
227,-41,CA:6B:21:3F:49:82,2024-10-30 14:16:06,0.1,0
228,-47,CA:2B:3D:A7:0C:C9,2024-10-30 14:16:07,0.1,0
229,-53,F8:93:7C:30:08:2A,2024-10-30 14:16:07,0.1,0
230,-61,E7:C1:DC:F8:37:CB,2024-10-30 14:16:08,0.1,0
231,-46,ED:7C:A0:C9:37:39,2024-10-30 14:16:08,0.1,0
232,-46,F2:C7:6C:15:14:53,2024-10-30 14:16:08,0.1,0
233,-39,E1:35:8A:20:CA:4D,2024-10-30 14:16:08,0.1,0
234,-54,E1:35:8A:20:CA:4D,2024-10-30 14:16:08,0.1,0
235,-51,C8:18:05:35:AD:86,2024-10-30 14:16:08,0.1,0
236,-41,CA:6B:21:3F:49:82,2024-10-30 14:16:08,0.1,0
237,-58,CA:2B:3D:A7:0C:C9,2024-10-30 14:16:09,0.1,0
238,-53,F8:93:7C:30:08:2A,2024-10-30 14:16:09,0.1,0
239,-55,E7:C1:DC:F8:37:CB,2024-10-30 14:16:10,0.1,0
240,-46,ED:7C:A0:C9:37:39,2024-10-30 14:16:10,0.1,0
241,-45,D1:8A:6B:17:30:48,2024-10-30 14:16:10,0.1,0
242,-40,E9:FF:E4:CA:81:83,2024-10-30 14:16:11,0.1,0
243,-47,F2:C7:6C:15:14:53,2024-10-30 14:16:12,0.1,0
244,-90,D3:23:DA:DD:89:E1,2024-10-30 14:16:12,0.1,0
245,-39,E1:35:8A:20:CA:4D,2024-10-30 14:16:12,0.1,0
246,-57,C8:18:05:35:AD:86,2024-10-30 14:16:12,0.1,0
247,-41,CA:6B:21:3F:49:82,2024-10-30 14:16:12,0.1,0
248,-41,CA:2B:3D:A7:0C:C9,2024-10-30 14:16:13,0.1,0
249,-48,F8:93:7C:30:08:2A,2024-10-30 14:16:13,0.1,0
250,-54,E7:C1:DC:F8:37:CB,2024-10-30 14:16:14,0.1,0
251,-47,ED:7C:A0:C9:37:39,2024-10-30 14:16:14,0.1,0
252,-44,D1:8A:6B:17:30:48,2024-10-30 14:16:14,0.1,0
253,-90,CD:80:4C:C8:B8:6D,2024-10-30 14:16:14,0.1,0
254,-46,F2:C7:6C:15:14:53,2024-10-30 14:16:16,0.1,0
255,-51,E1:35:8A:20:CA:4D,2024-10-30 14:16:16,0.1,0
256,-46,C8:18:05:35:AD:86,2024-10-30 14:16:16,0.1,0
257,-41,CA:6B:21:3F:49:82,2024-10-30 14:16:16,0.1,0
258,-48,CA:2B:3D:A7:0C:C9,2024-10-30 14:16:17,0.1,0
259,-54,F8:93:7C:30:08:2A,2024-10-30 14:16:17,0.1,0
260,-55,E7:C1:DC:F8:37:CB,2024-10-30 14:16:18,0.1,0
261,-45,D1:8A:6B:17:30:48,2024-10-30 14:16:18,0.1,0
262,-53,ED:7C:A0:C9:37:39,2024-10-30 14:16:20,0.1,0
263,-50,F2:C7:6C:15:14:53,2024-10-30 14:16:20,0.1,0
264,-39,E1:35:8A:20:CA:4D,2024-10-30 14:16:20,0.1,0
265,-42,CA:6B:21:3F:49:82,2024-10-30 14:16:20,0.1,0
266,-42,CA:2B:3D:A7:0C:C9,2024-10-30 14:16:21,0.1,0
267,-48,F8:93:7C:30:08:2A,2024-10-30 14:16:21,0.1,0
268,-40,E9:FF:E4:CA:81:83,2024-10-30 14:16:21,0.1,0
269,-87,CD:80:4C:C8:B8:6D,2024-10-30 14:16:22,0.1,0
270,-53,E7:C1:DC:F8:37:CB,2024-10-30 14:16:24,0.1,0
271,-47,ED:7C:A0:C9:37:39,2024-10-30 14:16:24,0.1,0
272,-47,F2:C7:6C:15:14:53,2024-10-30 14:16:24,0.1,0
273,-41,E1:35:8A:20:CA:4D,2024-10-30 14:16:24,0.1,0
274,-50,C8:18:05:35:AD:86,2024-10-30 14:16:24,0.1,0
275,-45,CA:6B:21:3F:49:82,2024-10-30 14:16:24,0.1,0
276,-41,CA:2B:3D:A7:0C:C9,2024-10-30 14:16:25,0.1,0
277,-40,E9:FF:E4:CA:81:83,2024-10-30 14:16:25,0.1,0
278,-65,F8:93:7C:30:08:2A,2024-10-30 14:16:27,0.1,0
279,-54,E1:35:8A:20:CA:4D,2024-10-30 14:16:28,0.1,0
280,-39,CA:6B:21:3F:49:82,2024-10-30 14:16:28,0.1,0
281,-51,CA:2B:3D:A7:0C:C9,2024-10-30 14:16:29,0.1,0
282,-39,E9:FF:E4:CA:81:83,2024-10-30 14:16:29,0.1,0
283,-45,ED:7C:A0:C9:37:39,2024-10-30 14:16:30,0.1,0
284,-45,E7:C1:DC:F8:37:CB,2024-10-30 14:16:30,0.1,0
285,-46,F2:C7:6C:15:14:53,2024-10-30 14:16:30,0.1,0
286,-48,D1:8A:6B:17:30:48,2024-10-30 14:16:30,0.1,0
287,-46,CA:6B:21:3F:49:82,2024-10-30 14:16:30,0.1,0
288,-48,F8:93:7C:30:08:2A,2024-10-30 14:16:31,0.1,0
289,-56,E1:35:8A:20:CA:4D,2024-10-30 14:16:32,0.1,0
290,-46,C8:18:05:35:AD:86,2024-10-30 14:16:32,0.1,0
291,-51,CA:2B:3D:A7:0C:C9,2024-10-30 14:16:33,0.1,0
292,-39,E9:FF:E4:CA:81:83,2024-10-30 14:16:33,0.1,0
293,-45,ED:7C:A0:C9:37:39,2024-10-30 14:16:34,0.1,0
294,-45,E7:C1:DC:F8:37:CB,2024-10-30 14:16:34,0.1,0
295,-48,D1:8A:6B:17:30:48,2024-10-30 14:16:34,0.1,0
296,-89,CD:80:4C:C8:B8:6D,2024-10-30 14:16:34,0.1,0
297,-41,CA:2B:3D:A7:0C:C9,2024-10-30 14:16:35,0.1,0
298,-39,E9:FF:E4:CA:81:83,2024-10-30 14:16:35,0.1,0
299,-42,ED:7C:A0:C9:37:39,2024-10-30 14:16:36,0.1,0
300,-45,E7:C1:DC:F8:37:CB,2024-10-30 14:16:36,0.1,0
301,-42,F2:C7:6C:15:14:53,2024-10-30 14:16:36,0.1,0
302,-43,CA:2B:3D:A7:0C:C9,2024-10-30 14:16:37,0.1,0
303,-48,F8:93:7C:30:08:2A,2024-10-30 14:16:37,0.1,0
